Month,ProductSales
0-Jan,136
1-Jan,332
2-Jan,391
3-Jan,424
4-Jan,495
5-Jan,122
6-Jan,483
7-Jan,401
8-Jan,272
9-Jan,497
10-Jan,413
11-Jan,334
12-Jan,487
13-Jan,195
14-Jan,280
15-Jan,153
16-Jan,259
17-Jan,369
18-Jan,254
19-Jan,294
20-Jan,487
21-Jan,305
22-Jan,356
23-Jan,221
24-Jan,487
25-Jan,124
0-Feb,229
1-Feb,348
2-Feb,490
3-Feb,432
4-Feb,459
5-Feb,419
6-Feb,456
7-Feb,155
8-Feb,163
9-Feb,366
10-Feb,494
11-Feb,476
12-Feb,112
13-Feb,442
14-Feb,196
15-Feb,153
16-Feb,362
17-Feb,157
18-Feb,462
19-Feb,249
20-Feb,306
21-Feb,440
22-Feb,479
23-Feb,262
24-Feb,340
25-Feb,250
0-Mar,345
1-Mar,486
2-Mar,199
3-Mar,331
4-Mar,475
5-Mar,269
6-Mar,437
7-Mar,470
8-Mar,392
9-Mar,235
10-Mar,410
11-Mar,339
12-Mar,137
13-Mar,493
14-Mar,377
15-Mar,431
16-Mar,131
17-Mar,413
18-Mar,159
19-Mar,282
20-Mar,357
21-Mar,311
22-Mar,198
23-Mar,433
24-Mar,442
25-Mar,299
0-Apr,259
1-Apr,337
2-Apr,318
3-Apr,289
4-Apr,368
5-Apr,327
6-Apr,192
7-Apr,309
8-Apr,173
9-Apr,470
10-Apr,456
11-Apr,331
12-Apr,391
13-Apr,324
14-Apr,139
15-Apr,141
16-Apr,149
17-Apr,461
18-Apr,243
19-Apr,122
20-Apr,119
21-Apr,468
22-Apr,372
23-Apr,375
24-Apr,408
25-Apr,165
0-May,202
1-May,157
2-May,392
3-May,133
4-May,388
5-May,265
6-May,389
7-May,276
8-May,110
9-May,199
10-May,252
11-May,203
12-May,366
13-May,182
14-May,247
15-May,327
16-May,420
17-May,407
18-May,475
19-May,300
20-May,122
21-May,335
22-May,243
23-May,316
24-May,262
25-May,236
